title,content,poster_path,cluster
Joker,"Joker Crime, Thriller, Drama During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure. en",/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,3
Avengers: Endgame,"Avengers: Endgame Adventure, Science Fiction, Action After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store. en",/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg,1
Spider-Man: No Way Home,"Spider-Man: No Way Home Action, Adventure, Science Fiction Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man. en",/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,1
Spider-Man: Far From Home,"Spider-Man: Far From Home Action, Adventure, Science Fiction Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent. en",/4q2NNj4S5dG2RLF9CpXsej7yXl.jpg,1
Captain Marvel,"Captain Marvel Action, Adventure, Science Fiction The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe. en",/AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg,1
Once Upon a Time... in Hollywood,"Once Upon a Time... in Hollywood Comedy, Drama, Thriller Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski… en",/8j58iEBw9pOXFD2L0nt0ZXeHviB.jpg,7
Dune,"Dune Science Fiction, Adventure Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive. en",/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,1
Avatar: The Way of Water,"Avatar: The Way of Water Action, Adventure, Science Fiction Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure. en",/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,1
Knives Out,"Knives Out Comedy, Crime, Mystery When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death. en",/pThyQovXQrw2m0s9x82twj48Jq4.jpg,3
1917,"1917 War, History At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers. en",/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,7
The Batman,"The Batman Crime, Mystery, Thriller In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler. en",/74xTEgt7R36Fpooo50r9T25onhq.jpg,2
John Wick: Chapter 3 - Parabellum,"John Wick: Chapter 3 - Parabellum Action, Thriller, Crime Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn. en",/ziEuG1essDuWuC5lpWUaw1uXY2O.jpg,3
Oppenheimer,"Oppenheimer Drama, History The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II. en",/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,7
Soul,"Soul Animation, Family, Comedy, Fantasy, Drama, Music Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth. en",/6jmppcaubzLF8wkXM36ganVISCo.jpg,7
Black Widow,"Black Widow Action, Adventure, Science Fiction Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger. en",/7JPpIjhD2V0sKyFvhB9khUMa30d.jpg,1
Venom: Let There Be Carnage,"Venom: Let There Be Carnage Science Fiction, Action, Adventure After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady. en",/pzKsRuKLFmYrW5Q0q8E8G78Tcgo.jpg,1
Tenet,"Tenet Action, Thriller, Science Fiction Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time. en",/aCIFMriQh8rvhxpN1IWGgvH0Tlg.jpg,1
Barbie,"Barbie Comedy, Adventure Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans. en",/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,11
